"","data","hypSc","logLik","pvalHSIC","SME_KDP","SME_MaxEnt1","timeLearn"
"1","AN","norm.kqr2_ho_red",0.668342857142857,0.2144,0.729542857142857,0.861257142857143,0.711542857142857
"2","AN","norm.kqr2_re_red",0.406857142857143,0.356457142857143,0.711314285714286,0.866571428571429,0.877771428571429
"3","AN-s","norm.kqr2_ho_red",0.694285714285714,0.322742857142857,0.642228571428571,0.6836,0.787485714285714
"4","AN-s","norm.kqr2_re_red",0.678228571428571,0.183257142857143,0.650228571428571,0.687371428571429,0.878628571428571
"5","LS","norm.kqr2_ho_red",0.416371428571429,0.233885714285714,0.340057142857143,0.713371428571429,0.600914285714286
"6","LS","norm.kqr2_re_red",0.277771428571429,0.298114285714286,0.303314285714286,0.705714285714286,0.467085714285714
"7","LS-s","norm.kqr2_ho_red",0.654085714285714,0.277085714285714,0.593314285714286,0.765542857142857,0.352457142857143
"8","LS-s","norm.kqr2_re_red",0.671314285714286,0.0626285714285714,0.594685714285714,0.767142857142857,0.176114285714286
"9","MN-U","norm.kqr2_ho_red",0.743228571428571,0.434057142857143,0.956228571428571,0.973485714285714,0.986971428571429
"10","MN-U","norm.kqr2_re_red",0.7524,0.5836,0.930628571428571,0.963428571428571,0.993257142857143
